公司,年月,股東權益總額,當季季底P/E,季底普通股市值,TEJ主產業代碼
2330 台積電,2020/12/31,"1,850,621,999",23.9,"13,743,101,400",23G
2331 精英,2020/12/31,"11,086,684",265.63,"14,464,582",23B
2332 友訊,2020/12/31,"9,740,355",87.63,"18,712,285",23E
2337 旺宏,2020/12/31,"36,194,392",13.44,"78,521,532",23G
2338 光罩,2020/12/31,"3,416,690",37.61,"10,196,970",23G
2340 光磊,2020/12/31,"7,693,326",15.06,"10,412,105",23C
2342 茂矽,2020/12/31,"2,177,973",35.7,"6,036,589",23G
2344 華邦電,2020/12/31,"70,592,687",75.07,"115,619,000",23G
2345 智邦,2020/12/31,"14,483,073",28.33,"176,788,096",23E
2347 聯強,2020/12/31,"56,850,168",7.76,"78,393,462",23T
2348 海悅,2020/12/31,"3,358,857",4.4,"8,226,555",25A
2349 錸德,2020/12/31,"10,287,946",,"7,561,101",23C
2351 順德,2020/12/31,"6,011,354",35.44,"17,886,148",23G
2352 佳世達,2020/12/31,"58,963,220",7.56,"56,938,310",23C
2353 宏碁,2020/12/31,"61,941,964",6.53,"72,081,723",23A
2354 鴻準,2020/12/31,"110,268,755",13.77,"75,533,499",23D
2355 敬鵬,2020/12/31,"15,306,104",351.56,"12,600,592",23B
2356 英業達,2020/12/31,"57,890,743",15.99,"86,099,400",23A
2357 華碩,2020/12/31,"214,641,551",5.26,"186,061,380",23A
2358 廷鑫,2020/12/31,"1,214,920",93.01,"1,428,702",20A
2359 所羅門,2020/12/31,"4,869,154",53.48,"3,292,243",23T
2360 致茂,2020/12/31,"16,388,693",23.49,"70,776,384",23H
2362 藍天,2020/12/31,"39,879,138",31.76,"20,159,866",23A
2363 矽統,2020/12/31,"17,507,575",,"10,726,439",23G
2364 倫飛,2020/12/31,"256,428",42.86,"675,938",23A
2365 昆盈,2020/12/31,"3,002,175",13.9,"2,705,562",23C
2367 燿華,2020/12/31,"9,671,800",,"13,750,835",23B
2368 金像電,2020/12/31,"9,265,636",10.27,"27,597,594",23B
2369 菱生,2020/12/31,"5,133,515",,"5,416,454",23G
2371 大同,2020/12/31,"23,841,188",,"61,880,727",15B
2373 震旦行,2020/12/31,"8,924,147",11.25,"20,998,358",23T
2374 佳能,2020/12/31,"5,896,458",,"4,235,430",23U
2375 凱美,2020/12/31,"7,641,614",19.28,"12,443,310",23D
2376 技嘉,2020/12/31,"27,413,122",9.09,"49,456,526",23B
2377 微星,2020/12/31,"35,539,852",11.62,"111,943,420",23B
2379 瑞昱,2020/12/31,"29,468,746",21.53,"199,422,102",23G
2380 虹光,2020/12/31,"1,100,865",,"1,749,579",23C
2382 廣達,2020/12/31,"150,292,855",9.1,"312,486,524",23A
